rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
17869841,Wild Eggs,Oakley/Pleasant Ridge,['American'],Moderately_priced,3.0,4
17114630,Skip's Express,Deer Park/Madeira,"['American', 'Breakfast']",Inexpensive,3.2,2
17116818,Servatii Pastry Shop,West Chester,['Breakfast'],Inexpensive,3.6,12
17117888,Blue Ash Chili,Springdale,"['Breakfast', 'Sandwich', 'Chili']",Inexpensive,3.3,7
17839685,Christines Casual Dining & Drinks,Cheviot/Westwood,"['American', 'Filipino', 'Tex-Mex']",Moderately_priced,3.1,6
17111921,Andy's Restaurant,Hamilton,"['Breakfast', 'Burger', 'Diner']",Inexpensive,3.6,6
17117356,El Ranchero,Milford,['Mexican'],Moderately_priced,3.3,7
17116587,The Sweeterie,Mariemont,['Desserts'],Inexpensive,3.5,11
17114947,Taco Bell,Anderson Township,['Fast Food'],Inexpensive,3.0,12
17116223,Lindner Family Café at the Taft Museum of Art,Downtown,"['American', 'Sandwich', 'Healthy Food']",Moderately_priced,3.3,10
17117220,Tbyrd's Sports Bar ~n~ Grille,Trenton,['BBQ'],Moderately_priced,3.3,9
17112915,Fantastic Wok II,Mason,['Chinese'],Inexpensive,3.7,11
17115556,Happy Garden Chinese Restaurant,Harrison,['Chinese'],Inexpensive,3.3,8
17113286,Hong Kong Wok,Hamilton,['Chinese'],Inexpensive,3.6,5
17116004,Skippers Restaurant/Marina,New Richmond,"['Burger', 'Bar Food', 'Sandwich']",Moderately_priced,3.5,8
17117432,My Thai Cafe,Springdale,['Thai'],Inexpensive,3.1,8
17113750,Maribelle Cakery,Cheviot/Westwood,['Desserts'],Moderately_priced,3.4,8
17115490,Guido's Restaurant,Cleves,"['Burger', 'Fast Food', 'Pizza']",Inexpensive,3.5,10
17114249,Pike Bar and Grill,Wyoming/Arlington Heights/Reading,['Bar Food'],Inexpensive,3.5,11
17117900,Los Cazadores,Withamsville,['Mexican'],Inexpensive,3.2,4
17116218,Marco's Pizza,Union Township,['Pizza'],Inexpensive,3.6,12
17116246,Marco's Pizza,Mason,['Pizza'],Inexpensive,3.4,11
17115619,Fricker's Restaurant,Middletown,"['American', 'Pizza', 'Sandwich']",Inexpensive,2.3,10
17116217,Churchill's Fine Teas,Over-the-Rhine/Mount Auburn,"['British', 'European', 'Tea']",Inexpensive,3.4,9
17116741,El Rancho Grande,West Chester,"['Mexican', 'Tex-Mex']",Inexpensive,3.3,11
17117473,The Booksellers,Downtown,['Coffee and Tea'],Inexpensive,3.2,7
17118008,Main Street Social,West Chester,[],Moderately_priced,3.1,5
17113085,Go Bananas Comedy Club,Montgomery,['American'],Inexpensive,3.5,11
17756559,Collective Espresso,Northside,['Coffee and Tea'],Inexpensive,3.1,8
17117287,Happy's Pizza,College Hill/Mt Healthy,"['BBQ', 'Pizza']",Inexpensive,3.3,5
17822830,Cafe Mediterranean,Hyde Park/Mount Lookout,"['Mediterranean', 'Turkish']",Moderately_priced,3.2,5
17116593,El Toro Bravo,Walton,['Mexican'],Moderately_priced,3.4,8
17115479,Spillway Lodge,Clarksville,['Steak'],Pricey,3.8,10
17116795,Ms. Cheri's Donuts and More,Milford,"['Desserts', 'Donuts']",Inexpensive,3.6,10
17784366,Amol India Carryout,Campbell County,['Indian'],Pricey,2.6,8
17117683,Cakes & Pastries by George,Cheviot/Westwood,"['Desserts', 'Greek']",Inexpensive,3.3,5
17112492,China Buffet,Norwood,['Chinese'],Inexpensive,3.5,11
17115230,White Castle,Delhi,"['Breakfast', 'Burger', 'Fast Food']",Inexpensive,3.3,7
17117147,La Pinata,Fairfield,['Mexican'],Inexpensive,3.5,11
17114550,Sandwich Block Deli,Crescent Springs/Fort Wright,['Sandwich'],Inexpensive,3.5,10
17112630,Cookie Jar Bakery,Campbell County,[],Inexpensive,3.6,12
17113217,Great Wall Chinese,West Chester,['Chinese'],Inexpensive,3.5,9
17113875,Taqueria Mi Ranchito,Springdale,"['Mexican', 'Seafood']",Inexpensive,3.4,8
17114975,Taste Wok,Mason,['Chinese'],Inexpensive,3.7,9
17113610,Legends Bar and Grill,Covington,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,3.3,10
17113460,Karen's Pizzeria,Hamilton,['Pizza'],Inexpensive,3.7,9
17113698,Madeira Inn,Deer Park/Madeira,"['German', 'Bar Food']",Inexpensive,3.4,9
17113078,Gina's Italian Kitchen and Tavern,Hamilton,"['American', 'Italian', 'Bar Food']",Moderately_priced,3.4,8
17112383,Camp Critter Bar and Grille,Mason,['American'],Moderately_priced,3.2,6
17117196,Rivertown Brewery & Barrel House,Wyoming/Arlington Heights/Reading,['Drinks Only'],Pricey,3.3,8
17117541,DiBella's Old Fashioned Submarines,Mason,['Sandwich'],Moderately_priced,3.4,8
17117979,The Growler House,Walnut Hills/Mount Adams,[],Inexpensive,3.4,6
17114403,Rally's,Madisonville,"['Burger', 'Fast Food']",Inexpensive,2.9,5
17115174,Wendy's,Oakley/Pleasant Ridge,['Fast Food'],Inexpensive,3.3,5
17116411,Somethin' Serious BBQ,Clifton/Avondale,['BBQ'],Inexpensive,3.5,6
17116935,Menchies Frozen Yogurt,Mason,['Desserts'],Inexpensive,3.6,11
17117360,Urban Grill,Price Hill/Fairmount,"['American', 'Sandwich']",Inexpensive,3.3,10
17117946,Beacon Food Mart,East End/Mount Washington,"['Sandwich', 'Deli']",Inexpensive,3.2,6
17112692,Dairy Queen (Treat),Blue Ash,"['Fast Food', 'Ice Cream']",Inexpensive,3.5,13
17115007,Three Amigos,Florence,"['Mexican', 'Tex-Mex']",Inexpensive,2.3,9
17116042,Fresh Market‎,Deer Park/Madeira,"['International', 'Sushi']",Inexpensive,3.5,13
17116028,Mainstrasse Village Pub,Covington,['Bar Food'],Moderately_priced,3.4,8
17112916,Fantasy in Frosting,Campbell County,[],Inexpensive,3.5,11
17112854,Dunkin',Clifton/Avondale,"['Fast Food', 'Donuts']",Inexpensive,3.5,10
17112505,China Garden Buffet,Forest Park,['Chinese'],Inexpensive,3.7,7
17117409,Mio Vino,Deer Park/Madeira,[],Inexpensive,3.3,7
17756551,Le Bar a Boeuf,Walnut Hills/Mount Adams,['French'],Pricey,3.1,6
17784504,86 Club,Clifton/Avondale,['Coffee and Tea'],Inexpensive,3.1,5
17112961,Turfway Bar & Grill,Florence,['American'],Inexpensive,3.4,7
17112893,Empress Chili,Cold Spring/Alexandria,"['Sandwich', 'Chili']",Inexpensive,3.6,7
17116717,AA Wok,Campbell County,['Chinese'],Inexpensive,3.3,11
17112150,Bistro on Elm,Downtown,['Bar Food'],Moderately_priced,3.2,7
17117054,Bizy Bee Bakery,North Bend,['Bakery'],Inexpensive,3.3,4
18493155,Tahona Kitchen and Bar,Blue Ash,['Mexican'],Moderately_priced,3.0,7
17869842,Coppin's Restaurant & Bar,Covington,['American'],Pricey,3.2,5
17117463,Sharonville Depot Deli,Sharonville,['Deli'],Inexpensive,3.3,8
17822840,El Rancho Grande Mexican Restaurant,Mason,['Mexican'],Moderately_priced,3.1,5
17116056,Piazza Discepoli,Monfort Heights/White Oak,[],Inexpensive,3.5,9
17115107,W & S Ribs & More,Golf Manor,"['BBQ', 'Southern']",Moderately_priced,3.2,8
17116391,Gangsters Dueling Piano Bar and Restaurant,Campbell County,"['Burger', 'Bar Food']",Moderately_priced,3.4,7
17116975,The Bistro @ The DoubleTree Suites by Hilton,Sharonville,"['American', 'Steak', 'Tapas']",Pricey,3.1,8
17839677,Flipdaddy's Burgers & Beers,Campbell County,"['American', 'Bar Food', 'Burger']",Pricey,2.6,5
18478510,Chilango Fresh Mexican,Loveland,"['Mexican', 'Taco']",Moderately_priced,3.0,4
17113126,Gold Star Chili,Madisonville,"['American', 'Chili']",Inexpensive,3.2,7
17116505,Servatii Pastry Shop,Crestview Hills,[],Inexpensive,3.5,9
17115614,Dad's Family Restaurant,Middletown,['American'],Inexpensive,3.3,9
17116785,Yagoot Frozen Yogurt,Mason,['Desserts'],Inexpensive,3.3,11
17117679,The Presidents Room,Downtown,"['American', 'European']",Pricey,3.5,8
17869837,Roll On In,Lebanon,['Sushi'],Moderately_priced,3.0,4
17112846,Drew's on the River,Delhi,"['American', 'Burger', 'Sandwich']",Inexpensive,3.4,11
17114596,Shanghai Garden,Florence,['Chinese'],Inexpensive,3.5,9
17115276,Wok Super,West Chester,"['Asian', 'Chinese', 'Seafood']",Inexpensive,2.8,9
17115292,Zazou Grill and Pub,Covington,"['American', 'Pizza']",Inexpensive,3.3,10
17116381,A Bottle Or Two,Symmes,[],Pricey,3.5,4
